date,close,source
2026-06-11,82.00057983398438,yfinance
2026-06-12,82.09000396728516,yfinance
2026-06-15,80.91000366210938,yfinance
2026-06-16,80.27999877929688,yfinance
2026-06-17,79.93000030517578,yfinance
2026-06-18,79.38999938964844,yfinance
2026-06-22,79.52999877929688,yfinance
2026-06-23,80.30999755859375,yfinance
2026-06-24,80.5999984741211,yfinance
2026-06-25,80.41999816894531,yfinance
2026-06-26,82.62999725341797,yfinance
2026-06-29,82.6500015258789,yfinance
2026-06-30,81.2699966430664,yfinance
2026-07-01,81.29000091552734,yfinance
2026-07-02,84.13999938964844,yfinance
